PRN,Toc,af0,af1,af2,IODE,Crs,Delta_n,M0,Cuc,e,Cus,Asqrt,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_DOT,IDOT,codeL2,GPS_Week,L2Pdata,accuracy,health,TGD,IODC,ttx,Fit_interval
3,417618,-0.000362283084542,4.66116034659e-12,0,174,-130.125,3.96980821559e-09,-1.73603885013,-6.7725777626e-06,0.00446734554134,7.05011188984e-06,5153.72351265,417600,1.30385160446e-07,-1.10656866583,-5.77419996262e-08,0.977396109591,252.125,1.01558767364,-7.79318176016e-09,-1.3107688845e-10,1,2249,0,2,0,1.86264514923e-09,174,410418,4
4,417618,-2.60542146862e-05,8.18545231596e-12,0,52,-26.59375,4.35018120251e-09,1.19088002139,-1.33365392685e-06,0.00232190696988,1.0410323739e-05,5153.70950699,417600,-6.51925802231e-08,-0.0254837154876,8.00937414169e-08,0.962825367987,180,-3.03923286807,-7.75353725166e-09,5.57166065346e-10,1,2249,0,2,0,-4.65661287308e-09,564,410479,4
5,417618,-0.000116163864732,-1.47792889038e-12,0,42,-153.28125,4.24410535545e-09,1.99262730081,-7.97398388386e-06,0.00576795346569,5.74626028538e-06,5153.62267494,417600,3.72529029846e-09,-1.15184082944,-1.15483999252e-07,0.964400452384,274.28125,1.13219491781,-8.05854995667e-09,-1.05004373854e-10,1,2249,0,2,0,-1.11758708954e-08,42,410480,4
6,417618,0.000573142431676,4.32009983342e-12,0,28,0.25,4.04552565524e-09,-0.348360858148,9.31322574616e-09,0.0029057339998,7.56233930588e-07,5153.61138534,417600,-8.38190317154e-08,-2.1467648291,-5.21540641785e-08,0.988633783994,380.84375,-0.83432244641,-8.23534303509e-09,-1.85722021782e-11,1,2249,0,2,0,3.72529029846e-09,28,415668,4
7,417618,0.000239770393819,-7.04858393874e-12,0,107,13.3125,5.16450083647e-09,-1.17934800202,9.55536961556e-07,0.0167394683231,5.80027699471e-06,5153.57922745,417600,3.48314642906e-07,0.990035284383,2.84984707832e-07,0.950312842402,258,-2.22468758484,-8.18141221723e-09,9.39324840936e-11,1,2249,0,2,0,-1.11758708954e-08,107,410481,4
9,417618,-0.000216977205128,7.04858393874e-12,0,79,-38.25,4.43125600817e-09,1.96934592364,-1.9408762455e-06,0.00248820276465,1.05015933514e-05,5153.66979027,417600,1.67638063431e-08,-0.0813512724927,8.00937414169e-08,0.956043380713,173.59375,1.97160548547,-7.76532345689e-09,5.83952895411e-10,1,2249,0,2,0,1.39698386192e-09,79,410483,4
10,417618,-2.49892473221e-05,-1.5916157281e-12,0,17,-137.625,3.86873257681e-09,-2.67892767294,-7.21402466297e-06,0.00846465840004,6.42798841e-06,5153.69168663,417600,-3.72529029846e-09,-1.1092431039,-8.19563865662e-08,0.977149757112,265.125,-2.44172057393,-7.70674958848e-09,-2.35724104569e-11,1,2249,0,2,0,2.32830643654e-09,17,410418,4
11,417618,-0.00010604178533,-1.0231815395e-11,0,170,-3.75,4.64555064869e-09,0.890948153395,-1.89989805222e-07,0.000760248745792,2.23517417908e-08,5153.70566559,417600,-4.47034835815e-08,-2.10317695232,5.77419996262e-08,0.964715898484,383.1875,-2.69527839378,-8.50035407387e-09,-2.67868300647e-11,1,2249,0,2,0,-8.84756445885e-09,938,417186,4
12,417618,-0.000341150444001,-4.54747350886e-12,0,29,42.03125,4.45197115675e-09,-1.98457978553,2.21841037273e-06,0.0089172803564,9.80496406555e-06,5153.65635109,417600,1.08033418655e-07,2.10490316055,2.23517417908e-08,0.966102240116,193.125,1.33530773082,-7.68210570482e-09,-5.40022494104e-10,1,2249,0,2.8,0,-1.25728547573e-08,29,410418,4
14,417618,-2.55363993347e-05,9.09494701773e-12,0,80,35.53125,4.79448542385e-09,-1.9316637623,1.79931521416e-06,0.00266820436809,9.39331948757e-06,5153.66496277,417600,4.65661287308e-08,2.06780106817,-1.06170773506e-07,0.949435606501,193.6875,-3.07865519972,-7.9742607314e-09,-5.4216544051e-10,1,2249,0,2,0,-7.91624188423e-09,80,410485,4
15,417618,1.404248178e-05,3.29691829393e-12,0,18,-59.71875,5.05771067395e-09,0.665506654966,-3.0267983675e-06,0.014732038253,1.05928629637e-05,5153.67969704,417600,-1.58324837685e-07,-0.197045570939,6.33299350738e-08,0.932229886111,164.71875,1.17900716551,-8.34499045949e-09,3.96445084958e-10,1,2249,0,2,0,-1.07102096081e-08,18,413329,4
16,417618,-0.000519766006619,1.70530256582e-12,0,26,30.0625,4.37232498203e-09,2.44945079837,1.40629708767e-06,0.0133942483226,9.76957380772e-06,5153.79010201,417600,-1.00582838059e-07,2.12325555563,-1.91852450371e-07,0.96586088204,194.25,0.763323624887,-7.63781814578e-09,-5.37522389965e-10,1,2249,0,2,0,-1.02445483208e-08,26,413202,4
17,417618,0.000700461678207,2.38742359215e-12,0,86,131.09375,3.98266589402e-09,1.597755382,6.50063157082e-06,0.0136573920026,6.69807195664e-06,5153.72139549,417600,2.03028321266e-07,-3.13960739037,-3.31550836563e-07,0.975905643301,254.21875,-1.41918973895,-7.80853954273e-09,1.8215044444e-11,1,2249,0,2,0,-1.11758708954e-08,86,413353,4
18,417618,-0.000143454410136,-1.5916157281e-11,0,150,17.6875,4.36482466961e-09,-0.465771692003,7.41332769394e-07,0.00297073542606,8.53091478348e-07,5153.69203567,417600,1.17346644402e-07,-2.1360100859,1.86264514923e-08,0.973250752737,369.75,-3.11213792451,-8.32391815317e-09,-3.67872466222e-11,1,2249,0,2,0,-8.38190317154e-09,406,410418,4
